id,name,num_bedrooms,bedroom_type,num_of_beds,num_of_bathrooms,bathroom_type,host_name,borough,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51040232,Guest suite in Brooklyn,1,bedroom,3,1,bath,Jessica,Brooklyn,East New York,40.66975074598789,-73.8901082,Entire home/apt,120,30,47,2023-12-01,1.6,1,179,26,
857228572017643495,Guest suite in Brooklyn,2,bedrooms,3,1,bath,Kamaria,Brooklyn,Canarsie,40.63900342,-73.89804572,Entire home/apt,100,30,13,2023-12-01,1.55,1,89,13,
687698474968214276,Rental unit in New York,1,bedroom,2,1,bath,Catalina,Manhattan,East Village,40.72915,-73.98235,Entire home/apt,215,30,24,2023-12-01,1.49,4,210,14,
863079371414230030,Rental unit in Queens,1,bedroom,1,1,bath,Lisa,Queens,Astoria,40.76960135016785,-73.92356262,Entire home/apt,153,30,11,2023-12-01,1.45,1,0,11,
990723330952862828,Rental unit in Brooklyn,4,bedrooms,5,1.5,baths,Avraham,Brooklyn,Crown Heights,40.672758053013716,-73.93155354,Entire home/apt,308,2,3,2023-12-01,1.41,5,143,3,Exempt
11574674,Guesthouse in Brooklyn,2,bedrooms,2,1,bath,Raquel,Brooklyn,Bushwick,40.69528,-73.92184,Entire home/apt,111,30,131,2023-12-01,1.39,4,161,2,
49951099,Home in Queens,1,bedroom,1,1,shared,Frederick And Jessy,Queens,Howard Beach,40.65358,-73.83582,Private room,50,30,37,2023-12-01,1.35,3,4,4,
673786603652497562,Rental unit in Brooklyn,1,bedroom,1,2,shared,Tara,Brooklyn,Bay Ridge,40.63233,-74.02145,Private room,105,30,22,2023-12-01,1.29,6,80,17,
45609365,Home in Queens,1,bedroom,1,1,private,Lloyd,Queens,Jamaica,40.68549,-73.76184,Private room,57,30,50,2023-12-01,1.28,4,171,11,
35496842,Rental unit in The Bronx,1,bedroom,1,1,bath,Segun,Bronx,Williamsbridge,40.88151,-73.8494,Entire home/apt,70,30,70,2023-12-01,1.26,1,364,13,
742246741289035376,Condo in New York,1,bedroom,1,1,shared,Ivan,Manhattan,Washington Heights,40.8388,-73.93785,Private room,35,30,18,2023-12-01,1.23,10,334,13,
49545608,Rental unit in Brooklyn,1,bedroom,1,1,bath,Julia,Brooklyn,Williamsburg,40.71679,-73.95675,Entire home/apt,199,30,37,2023-12-01,1.14,3,269,16,
787999065887227438,Rental unit in New York,1, Studio ,1,1,bath,Ady,Manhattan,Chinatown,40.713293037001996,-73.99556846,Private room,145,30,14,2023-12-01,1.14,1,364,13,
35711228,Rental unit in New York,1,bedroom,2,1,bath,Zachary,Manhattan,East Village,40.72409,-73.98926,Entire home/apt,130,30,61,2023-12-01,1.11,1,1,6,
39671310,Rental unit in New York,1,bedroom,1,1,private,Stan,Manhattan,Upper West Side,40.78716,-73.97202,Private room,149,30,56,2023-12-01,1.11,1,267,10,
565079733741558704,Rental unit in New York,1,bedroom,1,1,bath,Ignacio,Manhattan,Hell's Kitchen,40.76608,-73.99372,Entire home/apt,72,30,16,2023-12-01,1.07,11,113,12,
235951,Condo in New York,1,bedroom,1,1,bath,Daniel,Manhattan,Midtown,40.75408,-73.97071,Entire home/apt,188,30,155,2023-12-01,1.04,1,91,6,
640476155541307345,Home in Queens,2,bedrooms,2,2.5,baths,Elana,Queens,Rockaway Beach,40.58522,-73.81554,Entire home/apt,140,30,19,2023-12-01,1,2,278,3,
572509420403746949,Condo in New York,2,bedrooms,3,1,bath,Vanessa,Manhattan,Harlem,40.82413,-73.95414,Entire home/apt,301,30,20,2023-12-01,0.95,9,116,13,
38666081,Condo in Brooklyn,2,bedrooms,1,2,shared,Zachary,Brooklyn,Bedford-Stuyvesant,40.69232754348879,-73.94318281,Shared room,90,30,49,2023-12-01,0.94,1,85,33,
571564,Home in Brooklyn,1,bedroom,1,1,shared,Ana,Brooklyn,Crown Heights,40.67432,-73.94744,Private room,102,30,128,2023-12-01,0.93,3,364,3,
13373898,Condo in New York,3,bedrooms,2,1,bath,Jamie,Manhattan,Harlem,40.8052,-73.94683,Entire home/apt,247,30,81,2023-12-01,0.92,3,333,5,
651379369974834329,Rental unit in New York,1,bedroom,2,1,bath,Daniel,Manhattan,Upper West Side,40.78026,-73.97887,Entire home/apt,75,30,16,2023-12-01,0.92,6,335,10,
39860936,Boutique hotel in New York,1,bedroom,1,1,private,Hotel 32 32,Manhattan,Midtown,40.74519,-73.98244,Private room,151,1,34,2023-12-01,0.91,9,355,10,Exempt
19476630,Home in Brooklyn,1,bedroom,1,1.5,shared,Carla,Brooklyn,East New York,40.66189,-73.86599,Private room,36,30,72,2023-12-01,0.91,5,365,12,
1652236,Home in Brooklyn,1,bedroom,1,1,shared,Lord Daniel,Brooklyn,Bedford-Stuyvesant,40.68768,-73.95262,Private room,41,30,110,2023-12-01,0.88,6,168,16,
9887763,Rental unit in LIC,1,bedroom,1,1,shared,Nia,Queens,Long Island City,40.74769,-73.94458,Private room,110,30,84,2023-12-01,0.86,8,89,7,
10941762,Loft in New York,2,bedrooms,2,1,bath,Désirée,Manhattan,Lower East Side,40.72271,-73.99262,Entire home/apt,395,30,82,2023-12-01,0.86,1,278,2,
1020173390379158220,Hotel in New York,1,bedroom,1,1,bath,Bugra Han,Manhattan,Midtown,40.75477655096772,-73.97998025,Private room,135,2,1,2023-12-01,0.83,36,8,1,Exempt
954249192603022764,Hotel in New York ,1,bedroom,1,1,bath,Shkedy,Manhattan,Midtown,40.75262,-73.97072,Private room,165,1,1,2023-12-01,0.83,29,303,1,Exempt
1001502515015239083,Rental unit in Brooklyn ,1,bedroom,1,2,baths,Kristina,Brooklyn,Bedford-Stuyvesant,40.68592149,-73.94537008,Private room,40,30,1,2023-12-01,0.83,13,214,1,
756660534724054097,Rental unit in Brooklyn,2,bedrooms,2,1,bath,Remo,Brooklyn,Crown Heights,40.67785,-73.94008,Entire home/apt,129,30,8,2023-12-01,0.82,2,365,8,
1001737519563399181,Rental unit in Brooklyn ,1,bedroom,2,1,bath,Rodney,Brooklyn,Bedford-Stuyvesant,40.68884467682968,-73.9303994,Entire home/apt,108,30,1,2023-12-01,0.81,2,340,1,
1008781781839490021,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Anthony,Brooklyn,Williamsburg,40.70171,-73.94322,Private room,50,30,1,2023-12-01,0.81,4,246,1,
913709282917792473,Home in New York ,4,bedrooms,4,2.5,baths,Ali,Manhattan,Washington Heights,40.8312786,-73.9409761,Entire home/apt,250,30,1,2023-12-01,0.81,1,177,1,
914592079538599777,Rental unit in Brooklyn ,1, Studio ,1,1,bath,Jade,Brooklyn,Bedford-Stuyvesant,40.68660066299319,-73.91938385,Entire home/apt,75,30,1,2023-12-01,0.81,5,365,1,
918367184813940843,Home in Queens ,3,bedrooms,3,2,baths,Thomas,Queens,Rockaway Beach,40.586635024644494,-73.81375358,Entire home/apt,127,30,1,2023-12-01,0.81,1,208,1,
944912791363398658,Rental unit in New York ,2,bedrooms,2,2,baths,Rove,Manhattan,Greenwich Village,40.73608,-73.99434,Entire home/apt,336,30,1,2023-12-01,0.81,52,198,1,
961046189743474950,Home in Queens ,1,bedroom,1,1.5,baths,Emmanuel,Queens,Flushing,40.76566522668383,-73.80685106,Private room,52,30,1,2023-12-01,0.81,6,364,1,
973926823669823710,Rental unit in Queens ,1,bedroom,3,1,bath,Jason,Queens,Astoria,40.75925166,-73.90917228,Entire home/apt,173,30,1,2023-12-01,0.81,1,214,1,
979702194042540335,Home in Queens ,1,bedroom,1,1,bath,Hiroki,Queens,Jackson Heights,40.75048,-73.89541,Private room,37,30,1,2023-12-01,0.81,267,30,1,
55959,Rental unit in Brooklyn,1,bedroom,1,1,shared,Gus,Brooklyn,Williamsburg,40.71065,-73.95087,Private room,150,30,102,2023-12-01,0.8,2,89,6,
894434095790244315,Rental unit in Brooklyn,1,bedroom,1,1,bath,Michael,Brooklyn,Williamsburg,40.71202139,-73.95721753,Entire home/apt,175,30,5,2023-12-01,0.77,1,0,5,
915780736371404768,Rental unit in Brooklyn,2,bedrooms,3,2,baths,Nathan,Brooklyn,Bushwick,40.69176,-73.907,Entire home/apt,190,30,4,2023-12-01,0.76,2,179,4,
598600568938104304,Rental unit in New York,1,bedroom,2,1,bath,Daniel,Manhattan,Upper West Side,40.77866,-73.97469,Entire home/apt,141,30,12,2023-12-01,0.74,6,361,8,
46783109,Condo in New York,1,bedroom,1,1,shared,Mia,Manhattan,Greenwich Village,40.73329,-73.99876,Private room,100,30,20,2023-12-01,0.71,1,48,8,
13209522,Guest suite in Brooklyn,1,bedroom,1,1,bath,Yamin,Brooklyn,Bensonhurst,40.61992,-74.00112,Entire home/apt,130,30,64,2023-12-01,0.7,1,365,4,
6500246,Home in Brooklyn,1,bedroom,1,1,shared,Donovan,Brooklyn,Bedford-Stuyvesant,40.6867,-73.95701,Private room,65,30,60,2023-12-01,0.67,1,364,3,
694024141571245527,Condo in New York,1,bedroom,1,1,bath,Dinah,Manhattan,Hell's Kitchen,40.75885,-73.99495,Entire home/apt,250,30,9,2023-12-01,0.67,1,258,5,
32616393,Townhouse in Brooklyn,1,bedroom,1,2,shared,Aminul,Brooklyn,East New York,40.66951,-73.89381,Private room,40,30,37,2023-12-01,0.63,9,24,3,
548041570921178790,Rental unit in Brooklyn,1,bedroom,1,1,shared,Ekaterina,Brooklyn,Bedford-Stuyvesant,40.687434826605774,-73.93174989,Private room,49,30,13,2023-12-01,0.6,19,270,8,
591210724344251633,Rental unit in Brooklyn,1,bedroom,1,1,private,Valerie,Brooklyn,Bushwick,40.69843,-73.92707,Private room,70,30,11,2023-12-01,0.59,1,11,9,
48942624,Rental unit in New York,1, Studio ,1,1,bath,Inna,Manhattan,Upper East Side,40.770451,-73.955894,Entire home/apt,100,30,17,2023-12-01,0.58,44,310,6,
525523,Rental unit in New York,1,bedroom,2,1,shared,Kim,Manhattan,East Harlem,40.80728,-73.9388,Private room,69,30,46,2023-12-01,0.57,1,21,3,
858407042370719206,Townhouse in New York ,1,bedroom,1,1,shared,Eugene,Manhattan,Inwood,40.86113310205435,-73.92752998,Private room,30,30,2,2023-12-01,0.57,267,55,2,
30511301,Rental unit in Brooklyn,2,bedrooms,1,1,bath,Omer,Brooklyn,Williamsburg,40.70719,-73.95392,Entire home/apt,155,30,34,2023-12-01,0.56,1,85,6,
25531848,Condo in Queens,1,bedroom,1,1,bath,Moreira,Queens,Long Island City,40.75029373168945,-73.94085693,Entire home/apt,145,30,9,2023-12-01,0.53,1,365,6,
715102,Loft in Brooklyn,1,bedroom,2,1,shared,Florencia,Brooklyn,Williamsburg,40.71116,-73.94989,Private room,65,30,49,2023-12-01,0.52,3,32,9,
28121595,Home in Staten Island,1,bedroom,2,1,bath,Lana,Staten Island,Midland Beach,40.57552,-74.09086,Entire home/apt,128,30,26,2023-12-01,0.51,1,350,8,
52591041,Rental unit in Brooklyn,1,bedroom,1,1,shared,Tracie,Brooklyn,Bedford-Stuyvesant,40.69591,-73.94223,Private room,127,30,14,2023-12-01,0.51,2,31,6,
53384575,Condo in New York,1,bedroom,1,1,shared,Luis,Manhattan,Washington Heights,40.83126,-73.93968,Private room,50,30,13,2023-12-01,0.51,2,365,7,
796330819102964562,Rental unit in New York,1,bedroom,1,1,bath,Wapt,Manhattan,Murray Hill,40.74708340246032,-73.97692222,Entire home/apt,110,30,3,2023-12-01,0.51,30,331,3,
45565875,Home in Brooklyn,4,bedrooms,4,3.5,baths,Erika & Brett,Brooklyn,Greenpoint,40.72751,-73.95694,Entire home/apt,744,30,19,2023-12-01,0.5,1,110,3,
772163145887336030,Rental unit in Queens,1,bedroom,1,1,shared,Kaz,Queens,Elmhurst,40.7404828,-73.8839063,Private room,46,30,4,2023-12-01,0.48,93,337,4,
51000097,Rental unit in New York,1,bedroom,1,1,bath,Ramiro,Manhattan,Stuyvesant Town,40.7306,-73.97972,Entire home/apt,100,30,12,2023-12-01,0.47,5,279,5,
30537849,Rental unit in Brooklyn,1,bedroom,2,1,bath,Michele,Brooklyn,Park Slope,40.67325,-73.97884,Entire home/apt,250,30,28,2023-12-01,0.46,1,48,5,
30588468,Loft in Brooklyn,1,bedroom,1,1,shared,Victor,Brooklyn,Williamsburg,40.70467,-73.93659,Private room,99,30,19,2023-12-01,0.45,5,153,13,
32332890,Rental unit in New York,1,bedroom,1,1.5,baths,Janet,Manhattan,West Village,40.73293,-74.0033,Entire home/apt,160,30,21,2023-12-01,0.42,1,155,4,
754305296891617366,Home in Brooklyn,1,bedroom,1,1,shared,Umme Salma,Brooklyn,Cypress Hills,40.6817,-73.86541,Private room,33,30,5,2023-12-01,0.39,7,189,4,
745010507137458593,Rental unit in The Bronx,1,bedroom,1,1,bath,Yerddy,Bronx,Kingsbridge,40.87716,-73.90011,Entire home/apt,71,30,5,2023-12-01,0.37,1,338,4,
54292164,Rental unit in New York,1, Studio ,1,1,bath,Isaac,Manhattan,Chelsea,40.7457,-73.9914,Entire home/apt,95,30,7,2023-12-01,0.36,15,250,5,
596413252706204441,Rental unit in New York,1,bedroom,2,1,bath,T. Charle,Manhattan,Flatiron District,40.74218,-73.99112,Entire home/apt,124,30,6,2023-12-01,0.36,2,270,3,
50929305,Townhouse in New York,1, Studio ,3,1,bath,Brenda,Manhattan,Harlem,40.82386,-73.94971,Entire home/apt,93,31,10,2023-12-01,0.35,1,170,3,
53355572,Rental unit in New York,1,bedroom,1,1,bath,Juan,Manhattan,East Harlem,40.792664,-73.946701,Entire home/apt,100,30,6,2023-12-01,0.34,4,333,4,
48587331,Boutique hotel in New York,1,bedroom,2,1,private,Sonder (NYC),Manhattan,Midtown,40.76192,-73.97584,Private room,325,2,11,2023-12-01,0.33,84,220,5,Exempt
54262388,Rental unit in New York,2,bedrooms,2,1,bath,Gisele,Manhattan,Upper East Side,40.76214,-73.9613,Entire home/apt,125,30,6,2023-12-01,0.32,35,253,3,
44189059,Rental unit in Brooklyn,2,bedrooms,2,1,bath,Jeremy,Brooklyn,Prospect-Lefferts Gardens,40.66032,-73.96214,Entire home/apt,110,30,13,2023-12-01,0.31,4,170,3,
33798189,Rental unit in Queens,1,bedroom,1,1,private,Kaz,Queens,Woodside,40.74642,-73.90792,Private room,32,30,16,2023-12-01,0.3,93,324,4,
39969287,Home in Brooklyn ,1,bedroom,1,2,shared,Nicolas,Brooklyn,Williamsburg,40.71515,-73.94205,Private room,50,30,15,2023-12-01,0.3,1,30,7,
52286495,Rental unit in New York,2,bedrooms,2,1,bath,John And Catherine,Manhattan,Washington Heights,40.83747,-73.94125,Entire home/apt,110,30,6,2023-12-01,0.3,2,333,4,
42682643,Boutique hotel in New York,1,bedroom,1,4,shared,Reservation Desk,Manhattan,Gramercy,40.73603,-73.98525,Private room,56,30,8,2023-12-01,0.29,24,305,3,
48103930,Rental unit in New York,1, Studio ,1,1,bath,Jeniffer,Manhattan,Hell's Kitchen,40.76333,-73.98779,Entire home/apt,100,30,10,2023-12-01,0.29,139,262,3,
53626202,Rental unit in Brooklyn,1,bedroom,1,1,private,Danielle,Brooklyn,Williamsburg,40.713924407958984,-73.95526123,Private room,89,30,7,2023-12-01,0.28,4,69,4,
873144717960029601,Rental unit in New York ,1,bedroom,1,1,bath,David,Manhattan,Kips Bay,40.743805644178856,-73.97601182,Entire home/apt,165,30,2,2023-12-01,0.28,1,340,2,
894736262481713316,Home in Brooklyn ,1,bedroom,1,1,bath,Salvador,Brooklyn,Bedford-Stuyvesant,40.68959,-73.9449,Private room,80,30,2,2023-12-01,0.28,2,178,2,
13970217,Rental unit in New York,2,bedrooms,2,1.5,baths,Gordon,Manhattan,Midtown,40.7606,-73.96565,Entire home/apt,171,30,23,2023-12-01,0.27,6,295,6,
690123298121344577,Rental unit in New York,3,bedrooms,3,2,baths,Boomerang,Manhattan,Financial District,40.70898,-74.00911,Entire home/apt,308,30,4,2023-12-01,0.27,52,89,3,
52031750,Rental unit in New York,1, Studio ,1,1,bath,MyNyHousing,Manhattan,Chelsea,40.74168,-73.99964,Entire home/apt,110,30,7,2023-12-01,0.26,60,341,5,
50728514,Condo in New York,3,bedrooms,3,1,bath,Michael,Manhattan,Inwood,40.86358,-73.92961,Entire home/apt,129,30,7,2023-12-01,0.24,1,45,2,
715843557995962569,Rental unit in New York,4,bedrooms,5,1,bath,Vangelis,Manhattan,Chinatown,40.71414311105654,-73.99326894,Entire home/apt,175,30,3,2023-12-01,0.24,5,242,2,
641443656520012132,Rental unit in Jackson Heights,1,bedroom,1,1.5,shared,Kaz,Queens,Jackson Heights,40.75078,-73.87964,Private room,34,30,4,2023-12-01,0.23,93,364,3,
53900513,Home in Queens,1,bedroom,1,1,bath,Sonia,Queens,Woodhaven,40.69015,-73.86737,Private room,45,30,5,2023-12-01,0.22,4,113,2,
38780110,Rental unit in Queens,1,bedroom,1,2,shared,Dee,Queens,Fresh Meadows,40.75223,-73.78589,Private room,51,30,11,2023-12-01,0.21,9,151,2,
20933850,Rental unit in New York,1,bedroom,1,2,shared,Ozzy,Manhattan,Harlem,40.82269,-73.94491,Private room,66,30,15,2023-12-01,0.2,6,185,4,
39626638,Rental unit in Brooklyn,1,bedroom,1,1,private,Omer,Brooklyn,Williamsburg,40.70812225341797,-73.95311737,Private room,150,30,10,2023-12-01,0.2,2,121,8,
7019195,Condo in New York,1,bedroom,2,1,bath,Mighty Tree Properties,Manhattan,Midtown,40.76495,-73.97886,Entire home/apt,384,30,11,2023-12-01,0.19,6,202,2,
24473713,Boutique hotel in New York,1,bedroom,1,4,shared,Reservation Desk,Manhattan,Gramercy,40.73559,-73.9835,Private room,81,30,10,2023-12-01,0.19,24,339,6,
44802224,Home in Brooklyn,4,bedrooms,4,2,shared,Elisabeth,Brooklyn,Crown Heights,40.67347,-73.91657,Private room,66,30,6,2023-12-01,0.19,5,218,3,
621228646987167138,Rental unit in Brooklyn,1,bedroom,1,1.5,shared,Mohammed,Brooklyn,Brownsville,40.65577,-73.91117,Private room,41,30,3,2023-12-01,0.17,12,365,1,
46730982,Rental unit in New York,1, Studio ,1,1,bath,Jeniffer,Manhattan,Upper East Side,40.78057,-73.95205,Entire home/apt,100,30,6,2023-12-01,0.16,139,365,3,
437352,Condo in Brooklyn,2,bedrooms,2,1,bath,Seth,Brooklyn,South Slope,40.66902,-73.98884,Entire home/apt,112,30,21,2023-12-01,0.15,1,280,1,
38461254,Home in Brooklyn,1,bedroom,2,2,shared,Anastasia,Brooklyn,Bedford-Stuyvesant,40.68074,-73.94437,Shared room,43,30,5,2023-12-01,0.15,8,97,1,
43152182,Rental unit in Brooklyn,1,bedroom,1,1,bath,Elan,Brooklyn,Clinton Hill,40.68261,-73.96517,Entire home/apt,108,30,6,2023-12-01,0.15,3,122,1,
6925372,Rental unit in Brooklyn,1,bedroom,1,1.5,baths,Skylar,Brooklyn,Greenpoint,40.724968920863404,-73.9490744,Entire home/apt,119,30,13,2023-12-01,0.14,3,157,3,
19284253,Place to stay in New York,2,bedrooms,4,1,bath,Nina,Manhattan,Midtown,40.75052,-73.9832,Entire home/apt,125,30,11,2023-12-01,0.14,12,291,1,
50617228,Rental unit in New York,3,bedrooms,1,1,private,Elisa,Manhattan,East Harlem,40.789963748660696,-73.94911245,Private room,380,30,3,2023-12-01,0.14,5,1,2,
26608302,Rental unit in Queens,1,bedroom,1,1,shared,Kaz,Queens,Woodside,40.74679,-73.9066,Private room,27,30,7,2023-12-01,0.13,93,333,3,
49916027,Rental unit in New York,1,bedroom,1,1,bath,Aleks,Manhattan,Hell's Kitchen,40.76425,-73.98764,Entire home/apt,114,30,4,2023-12-01,0.13,1,0,2,
50623654,Rental unit in New York,2,bedrooms,2,1,bath,Paradise Suites,Manhattan,Upper East Side,40.75898,-73.95983,Entire home/apt,249,30,4,2023-12-01,0.13,37,365,2,
52267290,Rental unit in Brooklyn,1,bedroom,1,1,shared,Stanley,Brooklyn,Borough Park,40.6424,-73.99569,Private room,44,30,3,2023-12-01,0.13,6,365,1,
32990477,Rental unit in New York,1,bedroom,1,1,bath,Geoff,Brooklyn,Williamsburg,40.71557,-73.96641,Entire home/apt,200,30,7,2023-12-01,0.12,2,365,3,
43044132,Townhouse in New York ,1,bedroom,1,2.5,shared,Momoyo,Manhattan,Inwood,40.86475,-73.92183,Private room,37,30,2,2023-12-01,0.11,236,27,1,
4677654,Rental unit in Brooklyn,1,bedroom,1,3,shared,Luis Enrique,Brooklyn,Bushwick,40.68546,-73.90785,Private room,44,30,10,2023-12-01,0.09,12,365,2,
33143544,Home in Queens,1,bedroom,1,1,shared,Hiroki,Queens,Jackson Heights,40.7507,-73.89537,Private room,35,30,3,2023-12-01,0.06,267,55,1,
37634767,Loft in New York,1,bedroom,1,1,shared,Juliana,Manhattan,Midtown,40.74507,-73.99031,Private room,93,30,3,2023-12-01,0.06,5,259,1,
